kepid,pl_name,Score_Habitability,Score_Type,Score_Detection,Score_Radio,ProbeScore,rank,pl_rade,pl_bmasse,pl_eqt,pl_dens,planet_type_rule
7132798.0,Kepler-119 c,0.6,1.0,0.9999533111890244,1.0,0.8599836589161586,1,0.92,0.721,1016.0,,Earth-like
10027247.0,Kepler-1229 b,1.0,1.0,0.5,1.0,0.825,2,1.4,2.54,212.0,,Earth-like
4138008.0,Kepler-442 b,1.0,1.0,0.5,1.0,0.825,3,1.34,2.36,241.0,,Earth-like
9205938.0,Kepler-1126 c,1.0,1.0,0.5,1.0,0.825,4,1.45,2.7,305.0,,Earth-like
9730163.0,Kepler-445 d,1.0,1.0,0.5,1.0,0.825,5,1.25,2.1,305.0,,Earth-like
11497958.0,Kepler-296 e,1.0,0.8,0.5,1.0,0.7949999999999999,6,1.53,2.96,337.0,,Super-Earth
6497146.0,Kepler-438 b,1.0,1.0,0.5,0.5,0.7499999999999999,7,1.12,1.46,288.0,,Earth-like
,GJ 1002 b,1.0,1.0,0.5,0.5,0.7499999999999999,8,1.03,1.08,230.9,,Earth-like
9753154.0,Kepler-1244 b,0.6,1.0,0.5003022378578965,1.0,0.6851057832502638,9,1.35,2.39,1839.0,,Earth-like
8355239.0,Kepler-189 b,0.6,1.0,0.5,1.0,0.685,10,1.21,1.92,678.0,,Earth-like
8351704.0,Kepler-779 b,0.6,1.0,0.5,1.0,0.685,11,0.92,0.721,425.0,,Earth-like
8222813.0,Kepler-760 c,0.6,1.0,0.5,1.0,0.685,12,1.48,2.79,1139.0,,Earth-like
8226994.0,Kepler-250 b,0.6,1.0,0.5,1.0,0.685,13,1.13,1.51,938.0,,Earth-like
8229458.0,Kepler-1152 b,0.6,1.0,0.5,1.0,0.685,14,0.87,0.59,806.0,,Earth-like
5211199.0,Kepler-1800 b,0.6,1.0,0.5,1.0,0.685,15,0.99679734,0.961,1533.0,,Earth-like
8230616.0,Kepler-316 b,0.6,1.0,0.5,1.0,0.685,16,1.06,1.2,837.0,,Earth-like
8480285.0,Kepler-647 b,0.6,1.0,0.5,1.0,0.685,17,1.17,1.71,788.0,,Earth-like
8247638.0,Kepler-251 b,0.6,1.0,0.5,1.0,0.685,18,1.33,2.33,990.0,,Earth-like
5195172.0,Kepler-1763 b,0.6,1.0,0.5,1.0,0.685,19,1.14651332,1.59,1822.0,,Earth-like
8424002.0,Kepler-1512 b,0.6,1.0,0.5,1.0,0.685,20,1.18,1.76,322.0,,Earth-like
5185897.0,Kepler-398 b,0.6,1.0,0.5,1.0,0.685,21,0.93,0.749,755.0,,Earth-like
8247771.0,Kepler-1200 b,0.6,1.0,0.5,1.0,0.685,22,1.06,1.2,1174.0,,Earth-like
8257205.0,Kepler-1038 c,0.6,1.0,0.5,1.0,0.685,23,1.4162338,2.59,784.0,,Earth-like
8277797.0,Kepler-322 b,0.6,1.0,0.5,1.0,0.685,24,1.01,1.01,1373.0,,Earth-like
8212002.0,Kepler-1285 b,0.6,1.0,0.5,1.0,0.685,25,0.97,0.871,874.0,,Earth-like
5177859.0,Kepler-1576 b,0.6,1.0,0.5,1.0,0.685,26,1.04,1.12,1059.0,,Earth-like
8278371.0,Kepler-780 b,0.6,1.0,0.5,1.0,0.685,27,0.89,0.64,2099.0,,Earth-like
8416523.0,Kepler-1604 b,0.6,1.0,0.5,1.0,0.685,28,1.41,2.57,2023.0,,Earth-like
8280511.0,Kepler-271 b,0.6,1.0,0.5,1.0,0.685,29,1.23,2.04,759.0,,Earth-like
8346392.0,Kepler-777 b,0.6,1.0,0.5,1.0,0.685,30,1.47,2.76,569.0,,Earth-like
8415200.0,Kepler-1328 b,0.6,1.0,0.5,1.0,0.685,31,0.98,0.904,1214.0,,Earth-like
5252423.0,Kepler-237 b,0.6,1.0,0.5,1.0,0.685,32,1.41,2.57,823.0,,Earth-like
8193178.0,Kepler-187 b,0.6,1.0,0.5,1.0,0.685,33,1.41,2.57,1244.0,,Earth-like
5272233.0,Kepler-400 c,0.6,1.0,0.5,1.0,0.685,34,1.49,2.83,755.0,,Earth-like
5106313.0,Kepler-1694 b,0.6,1.0,0.5,1.0,0.685,35,1.17986031,1.76,956.0,,Earth-like
7918992.0,Kepler-1091 b,0.6,1.0,0.5,1.0,0.685,36,1.46,2.73,1664.0,,Earth-like
5436013.0,Kepler-1841 b,0.6,1.0,0.5,1.0,0.685,37,1.48912557,2.82,542.0,,Earth-like
5384079.0,Kepler-348 c,0.6,1.0,0.5,1.0,0.685,38,1.33,2.33,888.0,,Earth-like
7977197.0,Kepler-162 b,0.6,1.0,0.5,1.0,0.685,39,1.26,2.13,961.0,,Earth-like
7987866.0,Kepler-1832 b,0.6,1.0,0.5,1.0,0.685,40,1.22719556,2.02,1022.0,,Earth-like
8008206.0,Kepler-185 b,0.6,1.0,0.5,1.0,0.685,41,1.17,1.71,1237.0,,Earth-like
8013439.0,Kepler-381 b,0.6,1.0,0.5,1.0,0.685,42,0.99,0.937,1576.0,,Earth-like
5371777.0,Kepler-1589 b,0.6,1.0,0.5,1.0,0.685,43,1.09,1.32,2102.0,,Earth-like
5371776.0,Kepler-304 e,0.6,1.0,0.5,1.0,0.685,44,1.2,1.87,1137.0,,Earth-like
8016691.0,Kepler-1456 b,0.6,1.0,0.5,1.0,0.685,45,1.14,1.55,433.0,,Earth-like
8017703.0,Kepler-174 c,0.6,1.0,0.5,1.0,0.685,46,1.49,2.83,377.0,,Earth-like
8022489.0,Kepler-1311 b,0.6,1.0,0.5,1.0,0.685,47,1.24,2.07,1019.0,,Earth-like
8025596.0,Kepler-1290 b,0.6,1.0,0.5,1.0,0.685,48,1.42,2.6,1098.0,,Earth-like
8037038.0,Kepler-1631 b,0.6,1.0,0.5,1.0,0.685,49,1.35,2.39,1122.0,,Earth-like
8051946.0,Kepler-1416 b,0.6,1.0,0.5,1.0,0.685,50,0.88,0.615,1870.0,,Earth-like
